timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
6756804,6.70883,6.83136,7.0339,23.4615,1.0
6767766,6.69891,6.82134,6.43912,23.4686,1.0
6779091,6.68895,6.81107,6.56108,23.4815,1.0
6791741,6.67936,6.80151,7.18383,23.4786,1.0
6803234,6.67288,6.79468,7.80222,23.4672,1.0
6816309,6.67356,6.79533,8.83999,23.4629,1.0
6827752,6.68138,6.80342,6.43905,23.4686,1.0
6840407,6.69031,6.81276,6.61557,23.4872,1.0
6851758,6.69782,6.82026,7.1718,23.4772,1.0
6861927,6.70564,6.82814,7.10967,23.47,1.0
6872820,6.7125,6.83513,5.68997,23.4672,1.0
6883258,6.71659,6.83933,7.08455,23.4672,1.0
6895551,6.71817,6.84094,5.72129,23.47,1.0
6907088,6.71951,6.84235,8.40624,23.4743,1.0
6917756,6.7215,6.84408,4.61858,23.4643,1.0
6928789,6.72097,6.84362,7.08437,23.4672,1.0
6939865,6.71997,6.84271,7.7564,23.4615,1.0
6951745,6.72336,6.84623,7.8134,23.4686,1.0
6963199,6.73264,6.85546,8.35306,23.4672,1.0
6975893,6.74967,6.87291,8.81013,23.4586,1.0
6987089,6.77319,6.89679,7.05913,23.4643,1.0
6997770,6.79793,6.92211,7.15879,23.4758,1.0
7008088,6.82214,6.94674,7.8023,23.4672,1.0
7019090,6.84663,6.97164,7.03386,23.4615,1.0
7032058,6.87109,6.99654,7.82511,23.47,1.0
7043767,6.89553,7.02144,7.1217,23.4715,1.0
7056402,6.91722,7.04362,5.69,23.4672,1.0
7067755,6.93539,7.06185,8.33158,23.4643,1.0
7077919,6.95363,7.08053,7.00837,23.4586,1.0
7088806,6.97079,7.09812,6.43905,23.4686,1.0
7099098,6.98615,7.11362,8.32136,23.4629,1.0
7112222,7.00356,7.13154,7.84716,23.4729,1.0
7123757,7.02016,7.14841,4.65721,23.4672,1.0
7133917,7.03155,7.16007,7.8472,23.4729,1.0
7144474,7.03916,7.16783,5.65856,23.4643,1.0
7155188,7.0424,7.17113,6.39792,23.4643,1.0
7165925,7.04506,7.17372,9.435,23.4643,1.0
7175778,7.05595,7.18491,8.90063,23.4715,1.0
7187089,7.07243,7.20148,5.64317,23.4629,1.0
7199531,7.08761,7.21693,8.29988,23.46,1.0
7211089,7.1033,7.23309,7.83618,23.4715,1.0
7223532,7.1195,7.24947,6.38329,23.4629,1.0
7235089,7.13334,7.26347,7.73319,23.4586,1.0
7247421,7.14572,7.27621,7.09658,23.4686,1.0
7257934,7.15759,7.28813,7.71089,23.4558,1.0
7268807,7.16884,7.29969,7.05916,23.4643,1.0
7280074,7.18124,7.31245,8.92062,23.4743,1.0
7291753,7.19647,7.32797,7.08455,23.4672,1.0
7304084,7.21069,7.3424,6.41126,23.4658,1.0
7315757,7.22322,7.35537,8.97995,23.4829,1.0
7328023,7.23695,7.36897,6.45224,23.47,1.0
7339768,7.24895,7.38134,7.05923,23.4643,1.0
7349756,7.25743,7.39024,7.14701,23.4743,1.0
7360790,7.26091,7.39355,4.50273,23.4558,1.0
7371089,7.25462,7.38712,4.69537,23.47,1.0
7383898,7.24055,7.37268,7.75628,23.4615,1.0
7393753,7.22302,7.35482,4.57981,23.4615,1.0
7404795,7.20066,7.33216,6.45237,23.47,1.0
7416346,7.17501,7.30594,7.08437,23.4672,1.0
7427864,7.14831,7.27895,5.67488,23.4658,1.0
7440011,7.11721,7.24716,4.54216,23.4586,1.0
7451106,7.08225,7.21173,7.84724,23.4729,1.0
7461941,7.04862,7.17749,6.48011,23.4729,1.0
7472820,7.0183,7.14651,7.80234,23.4672,1.0
7482818,6.99624,7.124,9.88673,23.4629,1.0
7494819,6.98693,7.1145,7.75636,23.4615,1.0
7505769,6.98648,7.11397,8.33171,23.4643,1.0
7516831,6.9896,7.11728,6.43905,23.4686,1.0
7528415,6.99345,7.12112,7.83607,23.4715,1.0
7538820,7.00053,7.12818,8.80991,23.4586,1.0
7549770,7.01187,7.13979,6.34164,23.4586,1.0
7560828,7.02156,7.14975,6.38329,23.4629,1.0
7571898,7.02645,7.15475,6.43902,23.4686,1.0
7582819,7.02786,7.15605,6.99604,23.4572,1.0
7594820,7.02944,7.1577,8.29988,23.46,1.0
7606819,7.03387,7.16238,7.12177,23.4715,1.0
7618820,7.03914,7.16754,6.99604,23.4572,1.0
7630821,7.04604,7.17488,8.95995,23.48,1.0
7642818,7.05723,7.18615,7.10967,23.47,1.0
7654825,7.06866,7.19774,6.35529,23.46,1.0
7666819,7.07678,7.2061,7.24515,23.4858,1.0
7678821,7.08667,7.21631,9.52873,23.4786,1.0
7690819,7.10431,7.23413,8.35331,23.4672,1.0
7702818,7.13006,7.26001,9.36854,23.4543,1.0
7714819,7.16334,7.29402,8.83023,23.4615,1.0
